epoch,train_loss,valid_loss,HitRate@5,HitRate@10,NDCG@5,NDCG@10,MRR@10
1,7.0594892493208325,6.189430044658148,0.33251057827926656,0.3988011283497884,0.24673724234879976,0.2682610131956446,0.2272604775337506
2,4.7741429353062115,5.30810889913075,0.41249412317818523,0.5049365303244006,0.30353288488792274,0.33370860901481525,0.28009758322699035
3,4.098585978985695,5.066239371228574,0.43553126469205455,0.5338504936530324,0.3226556456440517,0.3545967860871169,0.29853154080939537
4,3.7833559103512204,4.959745410662978,0.45386694875411376,0.5518335684062059,0.33673872042496217,0.36861489238727824,0.3112373928179625
5,3.59441808938549,4.948314471031303,0.45704043253408555,0.5531264692054537,0.33948063096429015,0.3708956157382096,0.31359875579286545
6,3.4598275252750943,4.98117995262146,0.4605665256229431,0.5550070521861777,0.3433518628447958,0.37418646162319813,0.31736199729852543
7,3.361932488936412,4.98253429113929,0.4645627644569817,0.5585331452750353,0.34775054456889126,0.3783630401512412,0.32176739819105526
8,3.275817445561856,5.006930739132326,0.46497414198401504,0.5573577809120828,0.35019273435082815,0.38029349319924677,0.32461000757456693
9,3.20165426088716,5.051110609253841,0.46614950634696756,0.5567700987306065,0.3513089548725877,0.38084874341645475,0.325537495988833
10,3.1394694929312625,5.071456435901015,0.4642101551480959,0.5575340855665256,0.3510480536401669,0.3814717210506579,0.32620211323049525
11,3.082508563133088,5.091590842204307,0.4664433474377057,0.5540667606958157,0.35247658778993957,0.3810414898694595,0.32654826269952875
12,3.0256347225113327,5.136656689999708,0.46661965209214856,0.5567700987306065,0.3519574985606474,0.3813438106215924,0.326158736688529
13,2.9793934395257216,5.16561141298778,0.4660319699106723,0.5548307475317349,0.353792205715552,0.3827048281307714,0.3286076922933374
14,2.9353336378204458,5.209952151597435,0.46115420780441935,0.55024682651622,0.35129401950332956,0.380283267216166,0.32688890847829216
15,2.892688672753829,5.254366433442528,0.460742830277386,0.5490126939351199,0.35182193126494066,0.3805044362329363,0.3275198039566832
